 Name,Imagen,Users,Created,Updated
Ensalada de pasta ,"{'url':'f6795cc414c1438b41f1e2d8e6c5d38866e635407d08e187c752866cc269ce3f.jpg','size':110189,'width':745,'height':559,'filename':'file.jpg'}",,2021-09-22T19:10:10.667Z,2021-09-23T08:34:38.196Z
"Ensalada mixta (queso, huevo, nueces, cebolla..)","{'url':'d85e2e1b7bd73fe4a621d26a147fd905b41eff8457cb083b6033f51b0102436b.jpg','size':402695,'width':1280,'height':878,'filename':'file.jpg'}",,2021-09-22T19:09:19.798Z,2021-09-23T08:42:24.793Z
Ensalada de tomate ,"{'url':'1b163c8e021f6f0e9fc56e32f7902e791a63463d180fc479a0f6851d1f72122e.jpg','size':70229,'width':980,'height':552,'filename':'file.jpg'}",,2021-09-22T19:08:26.403Z,2021-10-01T09:39:20.933Z
"Tortilla de patata (con/sin cebolla, no alimentamos polémicas...)","{'url':'88285464d3e4f252f61997487a629485d00be9d219f43acf90c4ea53c9492768.jpg','size':522388,'width':2120,'height':1193,'filename':'file.jpg'}",,2021-09-22T19:06:52.101Z,2021-09-22T19:06:52.101Z
Tortilla francesa,"{'url':'917c438f9613db33e5304259967947689a2e7061ba79ca3f09a181d5d542eb91.jpg','size':13454,'width':700,'height':467,'filename':'file.jpg'}",,2021-09-22T19:03:27.929Z,2021-09-22T19:03:27.929Z
Menestra de verduras (verduras variadas),"{'url':'1656f8fc11dfc356889dcbfa7771a6a4b623c015ce0767aa17dec28fa838f9ed.jpg','size':71200,'width':1200,'height':674,'filename':'file.jpg'}",,2021-09-22T19:01:58.212Z,2021-09-22T19:01:58.212Z
"Vainas, patata, zanahoria...","{'url':'ab741f47bbe2f8dde2eb066ed63d4c7fab2e22b132a69819405abc5a1531519b.jpg','size':1044966,'width':1249,'height':798,'filename':'file.jpg'}",,2021-09-22T19:00:28.407Z,2021-09-22T19:00:28.407Z
Brócoli con patata,"{'url':'eab3f6b811c15d0a3b037eb507226b657ffb24228706f0822aa1f1aa89b7bdb2.jpg','size':106152,'width':1024,'height':768,'filename':'file.jpg'}",,2021-09-22T18:59:20.713Z,2021-09-22T18:59:20.713Z
Pollo,"{'url':'9d03f21792d2a887d58a11fe03cfa660c452249ecdbbbe60191fe226a8888c96.jpg','size':37569,'width':680,'height':445,'filename':'file.jpg'}",,2021-09-22T18:57:32.122Z,2021-09-22T18:57:32.122Z
Ternera,"{'url':'66a4d0a859910e694d0f154cee7f73850174fdd4de68ae8973c808b84490668b.png','size':767480,'width':740,'height':355,'filename':'file.png'}",,2021-09-22T18:56:49.825Z,2021-09-22T18:56:49.825Z
Cerdo,"{'url':'7924a617eca382953404965bc14f7a069a77322d2e3fdbeb116c111fc109b17c.jpg','size':137645,'width':800,'height':450,'filename':'file.jpg'}",,2021-09-22T18:56:00.520Z,2021-09-22T18:56:00.520Z
"Pasta/Arroz ""normal""","{'url':'7067f309957e49723ff98dcdddd0e08f44101977d702949ea8763bdf1536495d.jpg','size':82656,'width':880,'height':495,'filename':'file.jpg'}",,2021-09-22T18:55:45.152Z,2021-09-22T18:55:45.152Z
Pasta/Arroz integral ,"{'url':'8c8855d3a73a6574d8c92e23992f9309e58215d15c2e45a48fc9b79255bdce62.jpg','size':216672,'width':900,'height':600,'filename':'file.jpg'}",,2021-09-22T18:54:42.764Z,2021-09-22T18:54:42.764Z
Pescado blanco...,"{'url':'df1107896fb1ccaf1eee3ec58aea042f1e2e2f8bd78172aaf9cd6b02b813674a.jpg','size':37058,'width':560,'height':420,'filename':'file.jpg'}",,2021-09-22T18:54:19.997Z,2021-09-22T18:54:19.997Z
Pescado azul...,"{'url':'71e448290a1c4821c5d787151d4a8c7e87a6b649c44c361900f363e9fc8b5e33.jpg','size':53912,'width':1706,'height':960,'filename':'file.jpg'}",,2021-09-22T18:53:35.960Z,2021-09-22T18:53:35.960Z
"Legumbre con chorizo, morcilla...","{'url':'68002d9a7f71ac6921b6b22b837f3c8d739c376675e03e7f32a847825fa86f34.jpg','size':181446,'width':960,'height':720,'filename':'file.jpg'}",,2021-09-22T18:53:18.086Z,2021-09-22T18:53:18.086Z
Legumbres con patatas y verduras,"{'url':'0a690517c79d202434de9f8c8f1c7369fbddc2822d8bb4597d5a87a9e37689ce.jpg','size':70295,'width':1050,'height':720,'filename':'file.jpg'}",,2021-09-22T18:52:27.156Z,2021-09-22T18:52:27.156Z
