 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Zumo de manzana selección Hacendado,"Brick 1 L | 1,40 €/L",1.4,FALSE,FALSE,,"{'url':'add381836705feaa27865e4c0ac00936e51a901c0ae78a1d7855ae4d8217e747.jpg','size':17013,'width':600,'height':600,'filename':'544904027f7b2408bf25b4d47fcfe4a5.jpg'}",,2022-09-20T13:12:09.541Z,2022-09-26T11:03:24.472Z
Zumo de pomelo Hacendado,"Brick 1 L | 1,30 €/L",1.3,,,,"{'url':'10355006725c472a9c92c8d531e5612360090b16dac0141eab2690d349477857.jpg','size':16944,'width':600,'height':600,'filename':'5c1d0c54d380053378432aae1b220131.jpg'}",,2022-09-20T13:11:51.062Z,2022-09-20T13:11:51.062Z
Bebida de pera Hacendado sin azúcares añadidos,"Brick 1 L | 1,00 €/L",1,,,,"{'url':'550485b89ba006fa120755bf83f9e1bebc3da13d1bcaae7577469ec1d61613f9.jpg','size':24323,'width':600,'height':600,'filename':'c4cdad6418c699f0b8806c7f055a151f.jpg'}",,2022-09-20T13:11:30.110Z,2022-09-20T13:11:30.110Z
Bebida guayaba Hacendado sin azúcares añadidos,"Brick 1 L | 1,20 €/L",1.2,,,,"{'url':'bddc9f6f8e4b9e556e5388f4d00ad88dd3edda98a665e2f79b479abffbe8b4b1.jpg','size':25220,'width':600,'height':600,'filename':'4ef7891fc35fdac0353ccc79dd209aa5.jpg'}",,2022-09-20T13:11:10.719Z,2022-09-20T13:11:10.719Z
Bebida de pomelo Hacendado sin azúcares añadidos,"Brick 1 L | 1,10 €/L",1.1,,,,"{'url':'1a93c542bfb9169b4d1bfc3da1faad0ffa7e3b7f31383ae44f761db7c999483c.jpg','size':24825,'width':600,'height':600,'filename':'5d8b391281f23e3e1c760d595414923e.jpg'}",,2022-09-20T13:10:51.855Z,2022-09-20T13:10:51.855Z
Bebida de mango Hacendado sin azúcares añadidos,"Brick 1 L | 0,85 €/L",0.85,,,,"{'url':'3866b143f33fe01488cfe2e1af88e1da7574185ca8033ade9f8fe9a120247010.jpg','size':24992,'width':600,'height':600,'filename':'0fc2e2fca9394989e32bc3ec5a12babf.jpg'}",,2022-09-20T13:10:30.306Z,2022-09-20T13:10:30.306Z
"Néctar de maracuyá Hacendado fruta de la pasión, mango, uva y manzana","Brick 1 L | 0,90 €/L",0.9,,,,"{'url':'59b8aadf4042f7b69cee60d2d608dc8e818a4475de8927dd7e398efff01f6391.jpg','size':26560,'width':600,'height':600,'filename':'52b181ea4dd2c6deace9e5ec0f0101c9.jpg'}",,2022-09-20T13:10:07.901Z,2022-09-20T13:10:07.901Z
Zumo de manzana Hacendado,"6 mini bricks x 200 ml | 0,934 €/L",1.12,,,,"{'url':'58b9b0a5ae1e6e7e86aac6218a64b04189d3b181ba0820abc2b08da312d86247.jpg','size':32085,'width':600,'height':600,'filename':'085218f584e4926703a611a292847fa4.jpg'}",,2022-09-20T13:09:46.700Z,2022-09-20T13:09:46.700Z
Zumo de manzana Hacendado,"Brick 1 L | 0,65 €/L",0.65,,,,"{'url':'710189f8463b86f90518cdba3f8cba6a22de2fc97d6134ed0a956b267db21979.jpg','size':16849,'width':600,'height':600,'filename':'ec1076d144676c1c2a305e70ef51d6ff.jpg'}",,2022-09-20T13:09:22.545Z,2022-09-20T13:09:22.545Z
Zumo de tomate Bonnysa,"Botella 600 ml | 3,317 €/L",1.99,,,,"{'url':'7947b15276a54d9f8403ec7cfd827f49700824568b552049300cc02cde5d58c5.jpg','size':17337,'width':600,'height':600,'filename':'19d6ee9d500071e6fc06d331be9cee8f.jpg'}",,2022-09-20T13:09:03.098Z,2022-09-20T13:09:03.098Z
