 Name,Description,Price,tipo
Zumo de manzana selección Hacendado,"Brick 1 L | 1,40 €/L",1.4,[' Zumos Frutas Bebidas']
Zumo de pomelo Hacendado,"Brick 1 L | 1,30 €/L",1.3,[' Zumos Frutas Bebidas']
Bebida de pera Hacendado sin azúcares añadidos,"Brick 1 L | 1,00 €/L",1.0,[' Frutas Bebidas Proteicos']
Bebida guayaba Hacendado sin azúcares añadidos,"Brick 1 L | 1,20 €/L",1.2,[' Bebidas Proteicos']
Bebida de pomelo Hacendado sin azúcares añadidos,"Brick 1 L | 1,10 €/L",1.1,[' Zumos Frutas Bebidas Proteicos']
Bebida de mango Hacendado sin azúcares añadidos,"Brick 1 L | 0,85 €/L",0.85,[' Zumos Frutas Bebidas Proteicos']
"Néctar de maracuyá Hacendado fruta de la pasión, mango, uva y manzana","Brick 1 L | 0,90 €/L",0.9,[' Zumos Frutas']
Zumo de manzana Hacendado,"6 mini bricks x 200 ml | 0,934 €/L",1.12,[' Zumos Frutas Bebidas']
Zumo de manzana Hacendado,"Brick 1 L | 0,65 €/L",0.65,[' Zumos Frutas Bebidas']
Zumo de tomate Bonnysa,"Botella 600 ml | 3,317 €/L",1.99,[' Zumos Verduras Bebidas Habituales']
Zumo de tomate Hacendado,"4 botellas x 200 ml | 1,688 €/L",1.35,[' Zumos Verduras Bebidas Habituales']
Zumo de tomate Hacendado,"Brick 1 L | 0,90 €/L",0.9,[' Zumos Verduras Bebidas Habituales']
Zumo de clementina selección Hacendado,"Brick 1 L | 1,35 €/L",1.35,[' Zumos Bebidas']
Bebida de naranja Hacendado sin azúcares añadidos,"6 mini bricks x 200 ml | 1,084 €/L",1.3,[' Zumos Frutas Bebidas Proteicos']
Bebida de naranja Hacendado sin azúcares añadidos,"Brick 1 L | 0,70 €/L",0.7,[' Zumos Frutas Bebidas Proteicos']
Bebida Florida Hacendado,"Brick 2 L | 0,50 €/L",1.0,[' Bebidas']
Zumo de naranja selección Hacendado,"3 mini bricks x 330 ml | 1,869 €/L",1.85,[' Zumos Frutas Bebidas']
Zumo de naranja selección Hacendado,"Brick 1 L | 1,25 €/L",1.25,[' Zumos Frutas Bebidas']
Zumo pura naranja con pulpa Hacendado,"Brick 1 L | 1,05 €/L",1.05,[' Zumos Frutas Bebidas']
Zumo pura naranja Hacendado,"6 mini bricks x 200 ml | 1,667 €/L",2.0,[' Zumos Frutas Bebidas']
Zumo pura naranja Hacendado,"Brick 1 L | 1,05 €/L",1.05,[' Zumos Frutas Bebidas']
Zumo de naranja recién exprimido Hacendado,"Botella 1 L | 4,99 €/L",4.99,[' Zumos Frutas Bebidas']
Zumo de naranja recién exprimido Hacendado,"Botella 500 ml | 7,18 €/L",3.59,[' Zumos Frutas Bebidas']
Zumo de naranja recién exprimido Hacendado,"Botella 250 ml | 10,36 €/L",2.59,[' Zumos Frutas Bebidas']
Néctar de piña La Verja,"Botella 1,5 L | 0,934 €/L",1.4,[' Zumos Frutas']
Zumo de piña selección Hacendado,"3 mini bricks x 330 ml | 2,273 €/L",2.25,[' Zumos Frutas Bebidas']
Zumo de piña selección Hacendado,"Brick 1 L | 1,70 €/L",1.7,[' Zumos Frutas Bebidas']
Zumo de piña Hacendado,"Brick 1 L | 1,00 €/L",1.0,[' Zumos Frutas Bebidas']
Bebida de piña Hacendado sin azúcares añadidos,"6 mini bricks x 200 ml | 1,125 €/L",1.35,[' Frutas Bebidas Proteicos']
Bebida de piña Hacendado sin azúcares añadidos,"Brick 1 L | 0,72 €/L",0.72,[' Frutas Bebidas Proteicos']
Zumo de piña y uva Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0,[' Zumos Frutas Bebidas']
