 Name,Description,Price,tipo
Zumo de manzana selección Hacendado,"Brick 1 L | 1,40 €/L",1.4, Desayuno
Zumo de pomelo Hacendado,"Brick 1 L | 1,30 €/L",1.3, Desayuno
Bebida de pera Hacendado sin azúcares añadidos,"Brick 1 L | 1,00 €/L",1.0, Desayuno Comida_Cena
Bebida guayaba Hacendado sin azúcares añadidos,"Brick 1 L | 1,20 €/L",1.2, Comida_Cena
Bebida de pomelo Hacendado sin azúcares añadidos,"Brick 1 L | 1,10 €/L",1.1, Desayuno Comida_Cena
Bebida de mango Hacendado sin azúcares añadidos,"Brick 1 L | 0,85 €/L",0.85, Desayuno Comida_Cena
"Néctar de maracuyá Hacendado fruta de la pasión, mango, uva y manzana","Brick 1 L | 0,90 €/L",0.9, Desayuno
Zumo de manzana Hacendado,"6 mini bricks x 200 ml | 0,934 €/L",1.12, Desayuno
Zumo de manzana Hacendado,"Brick 1 L | 0,65 €/L",0.65, Desayuno
Zumo de tomate Bonnysa,"Botella 600 ml | 3,317 €/L",1.99, Comida_Cena
Zumo de tomate Hacendado,"4 botellas x 200 ml | 1,688 €/L",1.35, Comida_Cena
Zumo de tomate Hacendado,"Brick 1 L | 0,90 €/L",0.9, Comida_Cena
Zumo de clementina selección Hacendado,"Brick 1 L | 1,35 €/L",1.35,
Bebida de naranja Hacendado sin azúcares añadidos,"6 mini bricks x 200 ml | 1,084 €/L",1.3, Desayuno Comida_Cena
Bebida de naranja Hacendado sin azúcares añadidos,"Brick 1 L | 0,70 €/L",0.7, Desayuno Comida_Cena
Bebida Florida Hacendado,"Brick 2 L | 0,50 €/L",1.0,
Zumo de naranja selección Hacendado,"3 mini bricks x 330 ml | 1,869 €/L",1.85, Desayuno
Zumo de naranja selección Hacendado,"Brick 1 L | 1,25 €/L",1.25, Desayuno
Zumo pura naranja con pulpa Hacendado,"Brick 1 L | 1,05 €/L",1.05, Desayuno
Zumo pura naranja Hacendado,"6 mini bricks x 200 ml | 1,667 €/L",2.0, Desayuno
Zumo pura naranja Hacendado,"Brick 1 L | 1,05 €/L",1.05, Desayuno
Zumo de naranja recién exprimido Hacendado,"Botella 1 L | 4,99 €/L",4.99, Desayuno
Zumo de naranja recién exprimido Hacendado,"Botella 500 ml | 7,18 €/L",3.59, Desayuno
Zumo de naranja recién exprimido Hacendado,"Botella 250 ml | 10,36 €/L",2.59, Desayuno
Néctar de piña La Verja,"Botella 1,5 L | 0,934 €/L",1.4, Desayuno
Zumo de piña selección Hacendado,"3 mini bricks x 330 ml | 2,273 €/L",2.25, Desayuno
Zumo de piña selección Hacendado,"Brick 1 L | 1,70 €/L",1.7, Desayuno
Zumo de piña Hacendado,"Brick 1 L | 1,00 €/L",1.0, Desayuno
Bebida de piña Hacendado sin azúcares añadidos,"6 mini bricks x 200 ml | 1,125 €/L",1.35, Desayuno Comida_Cena
Bebida de piña Hacendado sin azúcares añadidos,"Brick 1 L | 0,72 €/L",0.72, Desayuno Comida_Cena
Zumo de piña y uva Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0, Desayuno
Zumo de piña y uva Hacendado,"Brick 1 L | 0,70 €/L",0.7, Desayuno
Bebida de melocotón Hacendado sin azúcares añadidos,"6 mini bricks x 200 ml | 1,125 €/L",1.35, Desayuno Comida_Cena
Bebida de melocotón Hacendado sin azúcares añadidos,"Brick 1 L | 0,75 €/L",0.75, Desayuno Comida_Cena
Zumo de melocotón y uva Hacendado,"6 mini bricks x 200 ml | 1,084 €/L",1.3, Desayuno
Zumo de melocotón y uva Hacendado,"Brick 1 L | 0,90 €/L",0.9, Desayuno
Zumo de frutas y jengibre Active Hacendado,"Botella 60 ml | 22,50 €/L",1.35, Comida_Cena
Smoothie mango & coco Hacendado,"Botella 250 ml | 6,40 €/L",1.6, Desayuno
Zumo fresh jengibre & manzana Hacendado,"Botella 250 ml | 6,40 €/L",1.6, Desayuno Comida_Cena
Smoothie fresa Hacendado,"Botella 250 ml | 6,40 €/L",1.6, Desayuno
Zumo fresh maracuyá & chía Hacendado,"Botella 750 ml | 3,667 €/L",2.75,
Bebida multivitaminas Hacendado sin azúcares añadidos,"Brick 1 L | 0,88 €/L",0.88, Comida_Cena
Bebida de frutas rojas antioxidante Hacendado sin azúcares añadidos,"Brick 1 L | 1,50 €/L",1.5, Comida_Cena
